stt,id
0,214607925
1,207194223
2,179529356
3,248360352
4,121707249
5,120524379
6,129587083
7,120569780
8,3843231
9,3842585
10,111725477
11,121707269
12,3842291
13,111719258
14,108022029
15,3843741
16,111718432
17,121707272
18,23192235
19,111719560
20,108368576
21,129650591
22,192133255
23,20840779
24,192133236
25,205240685
26,20972929
27,21438655
28,20846198
29,20981431
30,20958711
31,11720628
32,214491185
33,4328235
34,20967584
35,23192058
36,270596078
37,121707253
38,21432010
39,20955039
40,214607925
41,207194223
42,179529356
43,248360352
44,121707249
45,120524379
46,129587083
47,120569780
48,3843231
49,3842585
50,111725477
51,121707269
52,3842291
53,111719258
54,108022029
55,3843741
56,111718432
57,121707272
58,23192235
59,111719560
60,108368576
61,129650591
62,192133255
63,20840779
64,192133236
65,205240685
66,20972929
67,21438655
68,20846198
69,20981431
70,20958711
71,11720628
72,214491185
73,4328235
74,20967584
75,23192058
76,270596078
77,121707253
78,21432010
79,20955039
80,21465420
81,3845185
82,20827821
83,20764352
84,33517524
85,216216098
86,195342694
87,21787178
88,21239769
89,20837461
90,108092483
91,108092699
92,204427610
93,192133271
94,21240179
95,20799210
96,111635111
97,111646835
98,115092053
99,56555197
100,38049929
101,205856283
102,59387881
103,178288201
104,57999394
105,107486345
106,186254300
107,134582026
108,50431944
109,146564243
110,174924560
111,46211207
112,62501531
113,121243524
114,108918404
115,254145327
116,57999369
117,37032720
118,217736127
119,24418304
120,174924421
121,53063443
122,161226137
123,24417530
124,64700139
125,66581295
126,122311509
127,62469165
128,6348991
129,121534780
130,127965154
131,57999259
132,146562328
133,59318679
134,129144356
135,108895863
136,54460849
137,161243107
138,115092053
139,56555197
140,38049929
141,205856283
142,59387881
143,178288201
144,57999394
145,107486345
146,186254300
147,134582026
148,50431944
149,146564243
150,174924560
151,46211207
152,62501531
153,121243524
154,108918404
155,254145327
156,57999369
157,37032720
158,217736127
159,24418304
160,174924421
161,53063443
162,161226137
163,24417530
164,64700139
165,66581295
166,122311509
167,62469165
168,6348991
169,121534780
170,127965154
171,57999259
172,146562328
173,59318679
174,129144356
175,108895863
176,54460849
177,161243107
178,38046123
179,171435855
180,69188685
181,150902332
182,171749255
183,109177492
184,52285289
185,252970254
186,67445535
187,191950319
188,55351571
189,59304413
190,204377039
191,116571731
192,131543428
193,110350584
194,103078185
195,171749555
196,54658075
197,240261261
198,10298023
199,10404960
200,199959253
201,119366015
202,56671555
203,270103323
204,170998938
205,271423198
206,173251740
207,173205607
208,142252045
209,11308708
210,250603530
211,194183442
212,53827094
213,14069511
214,58341818
215,262076292
216,4996089
217,147697082
218,3677879
219,72007517
220,176254169
221,250586585
222,114922628
223,20587661
224,76280567
225,270811346
226,271995188
227,79549488
228,43106744
229,10405273
230,72037090
231,271328721
232,7421191
233,271993735
234,15504542
235,193056112
236,199737168
237,73772610
238,10298023
239,10404960
240,199959253
241,119366015
242,56671555
243,270103323
244,170998938
245,271423198
246,173251740
247,173205607
248,142252045
249,11308708
250,250603530
251,194183442
252,53827094
253,14069511
254,58341818
255,262076292
256,4996089
257,147697082
258,3677879
259,72007517
260,176254169
261,250586585
262,114922628
263,20587661
264,76280567
265,270811346
266,271995188
267,79549488
268,43106744
269,10405273
270,72037090
271,271328721
272,7421191
273,271993735
274,15504542
275,193056112
276,199737168
277,73772610
278,195951120
279,4996081
280,73640735
281,8148780
282,72649842
283,205727632
284,967316
285,147815151
286,10608242
287,271991477
288,271730843
289,4996083
290,16830079
291,196793014
292,101757299
293,54425494
294,213891666
295,270298162
296,56669531
297,56669340
298,88773162
299,967198
300,193056091
301,271798591
302,147697075
303,90526146
304,99334697
305,55851733
306,76361341
307,271729631
308,72040345
309,207797580
310,96676451
311,205046684
312,271994885
313,27662678
314,271734736
315,169590167
316,93819812
317,79565310
318,76290101
319,967312
320,109377964
321,114987571
322,109958498
323,80147702
324,79549432
325,239144560
326,76121983
327,271728288
328,271738994
329,54456368
330,169819370
331,141094802
332,73117634
333,205727624
334,271802201
335,271726978
336,42758743
337,239150248
338,11910879
339,270811415
340,73809373
341,271746037
342,271984023
343,205727620
344,136406893
345,109108886
346,109377903
347,230038155
348,72104898
349,56960530
350,80141372
351,76369484
352,79112298
353,227037309
354,8427424
355,11913707
356,4996139
357,272944702
358,20554383
359,14142268
360,252299384
361,208432578
362,225924315
363,273027746
364,273028315
365,273025547
366,271744745
367,271727845
368,273028923
369,205727641
370,118081942
371,205727628
372,90582367
373,57791262
374,56635967
375,75709251
376,8427422
377,11911534
378,203967120
379,272941210
380,193056155
381,193056181
382,213891670
383,273024302
384,272987476
385,273024232
386,273029603
387,14134404
388,271780960
389,271993293
390,273028728
391,96662102
392,56455024
393,26219830
394,205727622
395,229995793
396,96594892
397,229721580
398,31566804
399,57793386
400,57797478
401,213913582
402,56611585
403,127118538
404,176212580
405,20547144
406,14136994
407,14138459
408,272941008
409,272944307
410,68881485
411,73855808
412,73893107
